case,candidate,seed,thermal_weight,wirelength_weight,legalization_status,is_legal,before_overlap_pairs,after_overlap_pairs,source_input,legalized_json,compare_png,eval_input,eval_stem
Case10,34,121,3.0,2.0,ok,true,88,10,legalized/Case10_candidate34_thermal3_wirelength2_seed121_legalized_illegal.json,legalized/Case10_candidate34_thermal3_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case10_candidate34_thermal3_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case10_thermal3_wirelength2_seed121.json,Case10_thermal3_wirelength2_seed121
Case10,40,121,10.0,50.0,ok,true,62,32,legalized/Case10_candidate40_thermal10_wirelength50_seed121_legalized_illegal.json,legalized/Case10_candidate40_thermal10_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case10_candidate40_thermal10_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case10_thermal10_wirelength50_seed121.json,Case10_thermal10_wirelength50_seed121
Case6,10,121,0.01,50.0,ok,true,59,33,legalized/Case6_candidate10_thermal0p01_wirelength50_seed121_legalized_illegal.json,legalized/Case6_candidate10_thermal0p01_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case6_candidate10_thermal0p01_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case6_thermal0p01_wirelength50_seed121.json,Case6_thermal0p01_wirelength50_seed121
Case6,15,121,0.03,50.0,ok,true,58,46,legalized/Case6_candidate15_thermal0p03_wirelength50_seed121_legalized_illegal.json,legalized/Case6_candidate15_thermal0p03_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case6_candidate15_thermal0p03_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case6_thermal0p03_wirelength50_seed121.json,Case6_thermal0p03_wirelength50_seed121
Case6,25,121,0.3,50.0,ok,true,19,14,legalized/Case6_candidate25_thermal0p3_wirelength50_seed121_legalized_illegal.json,legalized/Case6_candidate25_thermal0p3_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case6_candidate25_thermal0p3_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case6_thermal0p3_wirelength50_seed121.json,Case6_thermal0p3_wirelength50_seed121
Case6,29,121,1.0,2.0,ok,true,23,13,legalized/Case6_candidate29_thermal1_wirelength2_seed121_legalized_illegal.json,legalized/Case6_candidate29_thermal1_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case6_candidate29_thermal1_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case6_thermal1_wirelength2_seed121.json,Case6_thermal1_wirelength2_seed121
Case6,30,121,1.0,50.0,ok,true,38,7,legalized/Case6_candidate30_thermal1_wirelength50_seed121_legalized_illegal.json,legalized/Case6_candidate30_thermal1_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case6_candidate30_thermal1_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case6_thermal1_wirelength50_seed121.json,Case6_thermal1_wirelength50_seed121
Case6,35,121,3.0,50.0,ok,true,28,20,legalized/Case6_candidate35_thermal3_wirelength50_seed121_legalized_illegal.json,legalized/Case6_candidate35_thermal3_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case6_candidate35_thermal3_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case6_thermal3_wirelength50_seed121.json,Case6_thermal3_wirelength50_seed121
Case6,44,121,30.0,2.0,ok,true,25,5,legalized/Case6_candidate44_thermal30_wirelength2_seed121_legalized_illegal.json,legalized/Case6_candidate44_thermal30_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case6_candidate44_thermal30_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case6_thermal30_wirelength2_seed121.json,Case6_thermal30_wirelength2_seed121
Case6,45,121,30.0,50.0,ok,true,66,42,legalized/Case6_candidate45_thermal30_wirelength50_seed121_legalized_illegal.json,legalized/Case6_candidate45_thermal30_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case6_candidate45_thermal30_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case6_thermal30_wirelength50_seed121.json,Case6_thermal30_wirelength50_seed121
Case6,49,121,100.0,2.0,ok,true,24,7,legalized/Case6_candidate49_thermal100_wirelength2_seed121_legalized_illegal.json,legalized/Case6_candidate49_thermal100_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case6_candidate49_thermal100_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case6_thermal100_wirelength2_seed121.json,Case6_thermal100_wirelength2_seed121
Case7,4,121,0.0,2.0,ok,true,39,39,legalized/Case7_candidate04_thermal0_wirelength2_seed121_legalized_illegal.json,legalized/Case7_candidate04_thermal0_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case7_candidate04_thermal0_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case7_thermal0_wirelength2_seed121.json,Case7_thermal0_wirelength2_seed121
Case7,5,121,0.0,50.0,ok,true,77,59,legalized/Case7_candidate05_thermal0_wirelength50_seed121_legalized_illegal.json,legalized/Case7_candidate05_thermal0_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case7_candidate05_thermal0_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case7_thermal0_wirelength50_seed121.json,Case7_thermal0_wirelength50_seed121
Case7,9,121,0.01,2.0,ok,true,44,1,legalized/Case7_candidate09_thermal0p01_wirelength2_seed121_legalized_illegal.json,legalized/Case7_candidate09_thermal0p01_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case7_candidate09_thermal0p01_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case7_thermal0p01_wirelength2_seed121.json,Case7_thermal0p01_wirelength2_seed121
Case7,10,121,0.01,50.0,ok,true,91,75,legalized/Case7_candidate10_thermal0p01_wirelength50_seed121_legalized_illegal.json,legalized/Case7_candidate10_thermal0p01_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case7_candidate10_thermal0p01_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case7_thermal0p01_wirelength50_seed121.json,Case7_thermal0p01_wirelength50_seed121
Case7,15,121,0.03,50.0,ok,true,72,23,legalized/Case7_candidate15_thermal0p03_wirelength50_seed121_legalized_illegal.json,legalized/Case7_candidate15_thermal0p03_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case7_candidate15_thermal0p03_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case7_thermal0p03_wirelength50_seed121.json,Case7_thermal0p03_wirelength50_seed121
Case7,19,121,0.1,2.0,ok,true,30,17,legalized/Case7_candidate19_thermal0p1_wirelength2_seed121_legalized_illegal.json,legalized/Case7_candidate19_thermal0p1_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case7_candidate19_thermal0p1_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case7_thermal0p1_wirelength2_seed121.json,Case7_thermal0p1_wirelength2_seed121
Case7,20,121,0.1,50.0,ok,true,70,6,legalized/Case7_candidate20_thermal0p1_wirelength50_seed121_legalized_illegal.json,legalized/Case7_candidate20_thermal0p1_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case7_candidate20_thermal0p1_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case7_thermal0p1_wirelength50_seed121.json,Case7_thermal0p1_wirelength50_seed121
Case7,24,121,0.3,2.0,ok,true,38,32,legalized/Case7_candidate24_thermal0p3_wirelength2_seed121_legalized_illegal.json,legalized/Case7_candidate24_thermal0p3_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case7_candidate24_thermal0p3_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case7_thermal0p3_wirelength2_seed121.json,Case7_thermal0p3_wirelength2_seed121
Case7,29,121,1.0,2.0,ok,true,33,33,legalized/Case7_candidate29_thermal1_wirelength2_seed121_legalized_illegal.json,legalized/Case7_candidate29_thermal1_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case7_candidate29_thermal1_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case7_thermal1_wirelength2_seed121.json,Case7_thermal1_wirelength2_seed121
Case7,39,121,10.0,2.0,ok,true,55,29,legalized/Case7_candidate39_thermal10_wirelength2_seed121_legalized_illegal.json,legalized/Case7_candidate39_thermal10_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case7_candidate39_thermal10_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case7_thermal10_wirelength2_seed121.json,Case7_thermal10_wirelength2_seed121
Case7,45,121,30.0,50.0,ok,true,68,21,legalized/Case7_candidate45_thermal30_wirelength50_seed121_legalized_illegal.json,legalized/Case7_candidate45_thermal30_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case7_candidate45_thermal30_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case7_thermal30_wirelength50_seed121.json,Case7_thermal30_wirelength50_seed121
Case7,49,121,100.0,2.0,ok,true,44,18,legalized/Case7_candidate49_thermal100_wirelength2_seed121_legalized_illegal.json,legalized/Case7_candidate49_thermal100_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case7_candidate49_thermal100_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case7_thermal100_wirelength2_seed121.json,Case7_thermal100_wirelength2_seed121
Case7,50,121,100.0,50.0,ok,true,77,70,legalized/Case7_candidate50_thermal100_wirelength50_seed121_legalized_illegal.json,legalized/Case7_candidate50_thermal100_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case7_candidate50_thermal100_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case7_thermal100_wirelength50_seed121.json,Case7_thermal100_wirelength50_seed121
Case8,4,121,0.0,2.0,ok,true,41,18,legalized/Case8_candidate04_thermal0_wirelength2_seed121_legalized_illegal.json,legalized/Case8_candidate04_thermal0_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case8_candidate04_thermal0_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal0_wirelength2_seed121.json,Case8_thermal0_wirelength2_seed121
Case8,9,121,0.01,2.0,ok,true,46,10,legalized/Case8_candidate09_thermal0p01_wirelength2_seed121_legalized_illegal.json,legalized/Case8_candidate09_thermal0p01_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case8_candidate09_thermal0p01_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal0p01_wirelength2_seed121.json,Case8_thermal0p01_wirelength2_seed121
Case8,10,121,0.01,50.0,ok,true,118,36,legalized/Case8_candidate10_thermal0p01_wirelength50_seed121_legalized_illegal.json,legalized/Case8_candidate10_thermal0p01_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case8_candidate10_thermal0p01_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal0p01_wirelength50_seed121.json,Case8_thermal0p01_wirelength50_seed121
Case8,14,121,0.03,2.0,ok,true,48,11,legalized/Case8_candidate14_thermal0p03_wirelength2_seed121_legalized_illegal.json,legalized/Case8_candidate14_thermal0p03_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case8_candidate14_thermal0p03_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal0p03_wirelength2_seed121.json,Case8_thermal0p03_wirelength2_seed121
Case8,15,121,0.03,50.0,ok,true,105,88,legalized/Case8_candidate15_thermal0p03_wirelength50_seed121_legalized_illegal.json,legalized/Case8_candidate15_thermal0p03_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case8_candidate15_thermal0p03_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal0p03_wirelength50_seed121.json,Case8_thermal0p03_wirelength50_seed121
Case8,19,121,0.1,2.0,ok,true,34,8,legalized/Case8_candidate19_thermal0p1_wirelength2_seed121_legalized_illegal.json,legalized/Case8_candidate19_thermal0p1_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case8_candidate19_thermal0p1_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal0p1_wirelength2_seed121.json,Case8_thermal0p1_wirelength2_seed121
Case8,24,121,0.3,2.0,ok,true,40,12,legalized/Case8_candidate24_thermal0p3_wirelength2_seed121_legalized_illegal.json,legalized/Case8_candidate24_thermal0p3_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case8_candidate24_thermal0p3_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal0p3_wirelength2_seed121.json,Case8_thermal0p3_wirelength2_seed121
Case8,25,121,0.3,50.0,ok,true,59,5,legalized/Case8_candidate25_thermal0p3_wirelength50_seed121_legalized_illegal.json,legalized/Case8_candidate25_thermal0p3_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case8_candidate25_thermal0p3_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal0p3_wirelength50_seed121.json,Case8_thermal0p3_wirelength50_seed121
Case8,29,121,1.0,2.0,ok,true,40,9,legalized/Case8_candidate29_thermal1_wirelength2_seed121_legalized_illegal.json,legalized/Case8_candidate29_thermal1_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case8_candidate29_thermal1_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal1_wirelength2_seed121.json,Case8_thermal1_wirelength2_seed121
Case8,30,121,1.0,50.0,ok,true,155,63,legalized/Case8_candidate30_thermal1_wirelength50_seed121_legalized_illegal.json,legalized/Case8_candidate30_thermal1_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case8_candidate30_thermal1_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal1_wirelength50_seed121.json,Case8_thermal1_wirelength50_seed121
Case8,34,121,3.0,2.0,ok,true,39,11,legalized/Case8_candidate34_thermal3_wirelength2_seed121_legalized_illegal.json,legalized/Case8_candidate34_thermal3_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case8_candidate34_thermal3_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal3_wirelength2_seed121.json,Case8_thermal3_wirelength2_seed121
Case8,35,121,3.0,50.0,ok,true,127,76,legalized/Case8_candidate35_thermal3_wirelength50_seed121_legalized_illegal.json,legalized/Case8_candidate35_thermal3_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case8_candidate35_thermal3_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal3_wirelength50_seed121.json,Case8_thermal3_wirelength50_seed121
Case8,39,121,10.0,2.0,ok,true,51,14,legalized/Case8_candidate39_thermal10_wirelength2_seed121_legalized_illegal.json,legalized/Case8_candidate39_thermal10_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case8_candidate39_thermal10_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal10_wirelength2_seed121.json,Case8_thermal10_wirelength2_seed121
Case8,40,121,10.0,50.0,ok,true,82,18,legalized/Case8_candidate40_thermal10_wirelength50_seed121_legalized_illegal.json,legalized/Case8_candidate40_thermal10_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case8_candidate40_thermal10_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal10_wirelength50_seed121.json,Case8_thermal10_wirelength50_seed121
Case8,49,121,100.0,2.0,ok,true,56,16,legalized/Case8_candidate49_thermal100_wirelength2_seed121_legalized_illegal.json,legalized/Case8_candidate49_thermal100_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case8_candidate49_thermal100_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal100_wirelength2_seed121.json,Case8_thermal100_wirelength2_seed121
Case8,50,121,100.0,50.0,ok,true,137,116,legalized/Case8_candidate50_thermal100_wirelength50_seed121_legalized_illegal.json,legalized/Case8_candidate50_thermal100_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case8_candidate50_thermal100_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case8_thermal100_wirelength50_seed121.json,Case8_thermal100_wirelength50_seed121
Case9,10,121,0.01,50.0,ok,true,71,19,legalized/Case9_candidate10_thermal0p01_wirelength50_seed121_legalized_illegal.json,legalized/Case9_candidate10_thermal0p01_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case9_candidate10_thermal0p01_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case9_thermal0p01_wirelength50_seed121.json,Case9_thermal0p01_wirelength50_seed121
Case9,14,121,0.03,2.0,ok,true,40,10,legalized/Case9_candidate14_thermal0p03_wirelength2_seed121_legalized_illegal.json,legalized/Case9_candidate14_thermal0p03_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case9_candidate14_thermal0p03_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case9_thermal0p03_wirelength2_seed121.json,Case9_thermal0p03_wirelength2_seed121
Case9,25,121,0.3,50.0,ok,true,114,4,legalized/Case9_candidate25_thermal0p3_wirelength50_seed121_legalized_illegal.json,legalized/Case9_candidate25_thermal0p3_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case9_candidate25_thermal0p3_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case9_thermal0p3_wirelength50_seed121.json,Case9_thermal0p3_wirelength50_seed121
Case9,35,121,3.0,50.0,ok,true,98,20,legalized/Case9_candidate35_thermal3_wirelength50_seed121_legalized_illegal.json,legalized/Case9_candidate35_thermal3_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case9_candidate35_thermal3_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case9_thermal3_wirelength50_seed121.json,Case9_thermal3_wirelength50_seed121
Case9,45,121,30.0,50.0,ok,true,127,81,legalized/Case9_candidate45_thermal30_wirelength50_seed121_legalized_illegal.json,legalized/Case9_candidate45_thermal30_wirelength50_seed121_legalized_illegal_legal.json,legalized/Case9_candidate45_thermal30_wirelength50_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case9_thermal30_wirelength50_seed121.json,Case9_thermal30_wirelength50_seed121
acend910,18,121,0.1,0.2,ok,true,4,3,legalized/acend910_candidate18_thermal0p1_wirelength0p2_seed121_legalized_illegal.json,legalized/acend910_candidate18_thermal0p1_wirelength0p2_seed121_legalized_illegal_legal.json,legalized/acend910_candidate18_thermal0p1_wirelength0p2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/acend910_thermal0p1_wirelength0p2_seed121.json,acend910_thermal0p1_wirelength0p2_seed121
acend910,23,121,0.3,0.2,ok,true,5,2,legalized/acend910_candidate23_thermal0p3_wirelength0p2_seed121_legalized_illegal.json,legalized/acend910_candidate23_thermal0p3_wirelength0p2_seed121_legalized_illegal_legal.json,legalized/acend910_candidate23_thermal0p3_wirelength0p2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/acend910_thermal0p3_wirelength0p2_seed121.json,acend910_thermal0p3_wirelength0p2_seed121
